Date,Close,Volume
2021/05/26,51.3,241846
2021/05/27,50.6,167118
2021/05/28,52.4,216934
2021/05/31,53.0,199782
2021/06/01,52.2,153776
2021/06/02,52.0,115730
2021/06/03,55.0,380138
2021/06/04,53.0,260150
2021/06/07,52.3,183701
2021/06/08,52.2,107619
2021/06/09,50.7,210880
2021/06/10,51.5,121662
2021/06/11,51.8,98451
2021/06/15,53.7,186367
2021/06/16,52.4,145061
2021/06/17,53.3,103617
2021/06/18,52.2,128892
2021/06/21,51.2,122927
2021/06/22,51.0,88780
2021/06/23,53.0,153985
2021/06/24,53.0,150176
2021/06/25,52.9,123053
2021/06/28,52.6,71873
2021/06/29,53.0,105346
2021/06/30,53.1,92968
2021/07/01,52.1,93298
2021/07/02,52.6,65761
2021/07/05,54.4,261523
2021/07/06,53.4,144822
2021/07/07,53.6,105991
2021/07/08,53.1,96052
2021/07/09,52.2,111351
2021/07/12,53.2,149279
2021/07/13,53.9,261975
2021/07/14,54.0,119847
2021/07/15,55.1,182155
2021/07/16,53.7,254836
2021/07/19,52.6,142678
2021/07/20,52.4,111149
2021/07/21,50.8,201374
2021/07/22,52.0,233371
2021/07/23,52.7,208158
2021/07/26,53.7,137792
2021/07/27,53.1,118561
2021/07/28,51.8,199999
2021/07/29,54.6,437075
2021/07/30,57.8,690359
2021/08/02,57.5,340901
2021/08/03,59.4,262067
2021/08/04,60.5,311901
2021/08/05,63.4,483378
2021/08/06,62.1,348569
2021/08/09,61.9,208521
2021/08/10,59.8,315261
2021/08/11,59.9,237426
2021/08/12,60.1,166046
2021/08/13,57.6,224287
2021/08/16,57.1,142298
2021/08/17,56.1,152522
2021/08/18,58.1,191647
2021/08/19,55.5,176910
2021/08/20,55.7,142080
2021/08/23,58.6,163631
2021/08/24,58.4,177627
2021/08/25,60.0,224638
2021/08/26,61.2,260011
2021/08/27,61.7,170082
2021/08/30,62.8,205442
2021/08/31,63.1,180847
2021/09/01,64.1,259821
2021/09/02,64.0,420645
2021/09/03,70.0,638063
2021/09/06,69.9,583661
2021/09/07,68.2,330249
2021/09/08,65.8,371885
2021/09/09,67.5,280520
2021/09/10,68.2,212753
2021/09/13,66.8,164864
2021/09/14,66.0,157499
2021/09/15,65.6,105174
2021/09/16,66.2,141524
2021/09/17,65.6,169502
2021/09/22,64.6,165678
2021/09/23,65.2,118464
2021/09/24,67.0,128088
2021/09/27,66.3,93097
2021/09/28,65.3,80807
2021/09/29,63.0,218033
2021/09/30,64.0,120964
2021/10/01,62.6,143009
2021/10/04,60.8,131588
2021/10/05,61.1,190242
2021/10/06,59.9,132290
2021/10/07,62.5,151564
2021/10/08,61.1,115288
2021/10/12,58.5,163058
2021/10/13,56.4,232296
2021/10/14,56.7,118944
2021/10/15,59.1,213190
2021/10/18,58.4,119994
2021/10/19,59.6,103901
2021/10/20,58.7,150444
2021/10/21,58.0,131728
2021/10/22,58.3,104075
2021/10/25,59.4,122369
2021/10/26,59.8,179241
2021/10/27,61.9,205673
2021/10/28,59.8,274100
2021/10/29,58.0,229397
2021/11/01,57.6,134144
2021/11/02,59.0,196610
2021/11/03,59.2,93583
2021/11/04,58.6,76461
2021/11/05,60.4,187161
2021/11/08,62.5,207964
2021/11/09,63.1,229917
2021/11/10,63.1,128033
2021/11/11,62.2,108617
2021/11/12,62.6,108784
2021/11/15,63.4,74723
2021/11/16,63.0,75321
2021/11/17,63.6,111672
2021/11/18,63.1,83090
2021/11/19,65.1,369983
2021/11/22,64.7,152277
2021/11/23,63.2,136648
2021/11/24,63.1,93507
2021/11/25,63.0,67823
2021/11/26,62.5,182950
2021/11/29,62.4,111522
2021/11/30,63.7,278039
2021/12/01,67.0,271771
2021/12/02,66.7,310855
2021/12/03,68.3,184869
2021/12/06,67.3,135275
2021/12/07,66.5,155940
2021/12/08,66.5,145655
2021/12/09,64.0,284846
2021/12/10,63.5,150492
2021/12/13,62.8,105861
2021/12/14,62.4,104224
2021/12/15,62.7,93432
2021/12/16,63.0,137992
2021/12/17,62.3,87887
2021/12/20,62.2,64252
2021/12/21,62.9,77194
2021/12/22,63.7,82805
2021/12/23,63.9,70807
2021/12/24,64.3,75488
2021/12/27,64.3,45906
2021/12/28,64.7,80111
2021/12/29,65.0,53066
2021/12/30,65.0,48163
2022/01/03,63.4,120579
2022/01/04,63.0,113869
2022/01/05,63.1,83199
2022/01/06,62.7,80954
2022/01/07,62.6,99406
2022/01/10,62.1,96153
2022/01/11,62.1,44373
2022/01/12,61.9,74326
2022/01/13,63.3,115987
2022/01/14,62.7,92692
2022/01/17,64.3,155223
2022/01/18,63.8,97361
2022/01/19,62.8,75426
2022/01/20,63.5,62252
2022/01/21,62.8,84304
2022/01/24,62.6,105175
2022/01/25,61.5,128936
2022/01/26,57.3,402133
2022/02/07,54.5,304373
2022/02/08,55.4,146741
2022/02/09,56.0,104595
2022/02/10,55.8,114341
2022/02/11,55.4,84972
2022/02/14,53.0,160543
2022/02/15,53.5,100850
2022/02/16,54.1,90864
2022/02/17,54.4,68310
2022/02/18,53.7,82216
2022/02/21,53.8,77342
2022/02/22,52.8,112741
2022/02/23,53.6,56448
2022/02/24,51.8,106503
2022/02/25,52.1,109311
2022/03/01,54.1,117494
2022/03/02,53.6,58016
2022/03/03,54.2,51713
2022/03/04,53.4,45582
2022/03/07,51.6,107606
2022/03/08,49.7,180287
2022/03/09,51.8,98203
2022/03/10,52.8,98569
2022/03/11,52.5,47021
2022/03/14,52.5,59759
2022/03/15,50.4,118324
2022/03/16,50.8,82588
2022/03/17,52.6,106648
2022/03/18,52.8,66366
2022/03/21,53.5,51116
2022/03/22,53.5,47847
2022/03/23,53.8,63589
2022/03/24,53.2,51198
2022/03/25,53.3,42288
2022/03/28,53.6,40471
2022/03/29,53.7,39644
2022/03/30,54.5,72860
2022/03/31,54.0,48478
2022/04/01,52.9,84161
2022/04/06,51.1,145865
2022/04/07,50.0,114103
2022/04/08,50.0,92177
2022/04/11,48.2,174438
2022/04/12,47.3,154848
2022/04/13,48.5,91923
2022/04/14,48.25,63831
2022/04/15,47.05,89412
2022/04/18,46.2,71337
2022/04/19,46.65,70240
2022/04/20,47.65,63807
2022/04/21,48.05,58300
2022/04/22,47.65,44827
2022/04/25,45.5,110188
2022/04/26,45.75,51833
2022/04/27,44.4,105139
2022/04/28,48.5,236257
2022/04/29,47.8,187887
2022/05/03,47.25,84742
2022/05/04,48.3,63296
2022/05/05,49.1,104304
2022/05/06,48.55,83033
2022/05/09,47.9,64054
2022/05/10,48.9,85245
2022/05/11,48.65,98646
2022/05/12,47.8,70505
2022/05/13,48.85,74032
2022/05/16,49.45,113273
2022/05/17,50.1,90046
2022/05/18,50.9,96004
2022/05/19,50.8,87198
2022/05/20,50.7,55034
2022/05/23,50.3,51326
2022/05/24,49.0,70934
2022/05/25,49.35,55559
2022/05/26,49.4,38858
2022/05/27,50.2,44363
2022/05/30,51.0,56562
2022/05/31,51.4,91174
2022/06/01,51.2,53404
2022/06/02,50.7,49329
2022/06/06,52.0,90457
2022/06/07,51.7,60715
2022/06/08,52.4,71075
2022/06/09,51.8,39566
2022/06/10,51.2,42867
2022/06/13,50.0,81291
2022/06/14,49.6,66413
2022/06/15,49.65,59748
2022/06/16,49.1,65503
2022/06/17,47.65,152888
2022/06/20,48.05,124251
2022/06/21,49.3,132538
2022/06/22,44.1,201496
